Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTestSuite,,,,26-04-2026 19:17:48,26-04-2026 19:17:51,2.296s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:48,26-04-2026 19:17:49,0.816s,PASSED
"DATA BINDING - {""recordID"":""d98b6b45-729a-491a-9f67-526fc595fdc3""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:48,26-04-2026 19:17:49,0.703s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:49,26-04-2026 19:17:49,0.246s,PASSED
"DATA BINDING - {""recordID"":""1b548590-2886-4bc7-89d3-47ce611bf8bc""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:49,26-04-2026 19:17:49,0.239s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:49,26-04-2026 19:17:50,0.403s,PASSED
"DATA BINDING - {""recordID"":""102554cd-cfde-4161-a2fc-47aed70210a1""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:49,26-04-2026 19:17:50,0.396s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:50,26-04-2026 19:17:50,0.245s,PASSED
"DATA BINDING - {""recordID"":""584e3c3e-8752-4003-ae8e-aff21f5346d2""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:50,26-04-2026 19:17:50,0.240s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:50,26-04-2026 19:17:50,0.252s,PASSED
"DATA BINDING - {""recordID"":""102d9d76-2c59-485d-b53b-833e7e963b91""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:50,26-04-2026 19:17:50,0.248s,PASSED
,,,,,,,
Test Cases/UpdateRecordsFromExcel,,,,26-04-2026 19:17:50,26-04-2026 19:17:51,0.232s,PASSED
"DATA BINDING - {""recordID"":""c728d68c-264d-4f54-bde2-699479f906ed""}",,,,,,,
"sendRequest(findTestObject(""updateRecords"", [""recordID"":recordID]), CONTINUE_ON_FAILURE)",,,,26-04-2026 19:17:50,26-04-2026 19:17:51,0.227s,PASSED
